territory_code	cd_nom	revised_conservation_priority	revision_date
PACA	84312	2	2017-01-01
PACA	84466	2	2017-01-01
PACA	84487	2	2017-01-01
PACA	84501	2	2017-01-01
PACA	84522	2	2017-01-01
PACA	84738	2	2017-01-01
PACA	84834	2	2017-01-01
PACA	788879	2	2017-01-01
PACA	85017	2	2017-01-01
PACA	85020	2	2017-01-01
PACA	85114	2	2017-01-01
PACA	85132	2	2017-01-01
PACA	85486	2	2017-01-01
PACA	85628	2	2017-01-01
PACA	85946	2	2017-01-01
PACA	132137	2	2017-01-01
PACA	85999	2	2017-01-01
PACA	86021	2	2017-01-01
PACA	86085	2	2017-01-01
PACA	86122	2	2017-01-01
PACA	132196	2	2017-01-01
PACA	86394	2	2017-01-01
PACA	132222	2	2017-01-01
PACA	86881	2	2017-01-01
PACA	86883	2	2017-01-01
PACA	87102	2	2017-01-01
PACA	87106	2	2017-01-01
PACA	87136	2	2017-01-01
PACA	132371	2	2017-01-01
PACA	87453	2	2017-01-01
PACA	87581	2	2017-01-01
PACA	87647	2	2017-01-01
PACA	87733	2	2017-01-01
PACA	87740	2	2017-01-01
PACA	87964	2	2017-01-01
PACA	88062	2	2017-01-01
PACA	88077	2	2017-01-01
PACA	88178	2	2017-01-01
PACA	88314	2	2017-01-01
PACA	88389	2	2017-01-01
PACA	88404	2	2017-01-01
PACA	132676	2	2017-01-01
PACA	88468	2	2017-01-01
PACA	88478	2	2017-01-01
PACA	88491	2	2017-01-01
PACA	88550	2	2017-01-01
PACA	88561	2	2017-01-01
PACA	88571	2	2017-01-01
PACA	88576	2	2017-01-01
PACA	88614	2	2017-01-01
PACA	88732	2	2017-01-01
PACA	88788	2	2017-01-01
PACA	88794	2	2017-01-01
PACA	88804	2	2017-01-01
PACA	88833	2	2017-01-01
PACA	88942	2	2017-01-01
PACA	88949	2	2017-01-01
PACA	89161	2	2017-01-01
PACA	89334	2	2017-01-01
PACA	89610	2	2017-01-01
PACA	132972	2	2017-01-01
PACA	89716	2	2017-01-01
PACA	89847	2	2017-01-01
PACA	89936	2	2017-01-01
PACA	89945	2	2017-01-01
PACA	90092	2	2017-01-01
PACA	447038	2	2017-01-01
PACA	90208	2	2017-01-01
PACA	90222	2	2017-01-01
PACA	90258	2	2017-01-01
PACA	90344	2	2017-01-01
PACA	90389	2	2017-01-01
PACA	90461	2	2017-01-01
PACA	91010	2	2017-01-01
PACA	91132	2	2017-01-01
PACA	91680	2	2017-01-01
PACA	133359	2	2017-01-01
PACA	92107	2	2017-01-01
PACA	92139	2	2017-01-01
PACA	92175	2	2017-01-01
PACA	92254	2	2017-01-01
PACA	92331	2	2017-01-01
PACA	92356	2	2017-01-01
PACA	92358	2	2017-01-01
PACA	92537	2	2017-01-01
PACA	92567	2	2017-01-01
PACA	92613	2	2017-01-01
PACA	92614	2	2017-01-01
PACA	92615	2	2017-01-01
PACA	92651	2	2017-01-01
PACA	92807	2	2017-01-01
PACA	93015	2	2017-01-01
PACA	93023	2	2017-01-01
PACA	93140	2	2017-01-01
PACA	93167	2	2017-01-01
PACA	93171	2	2017-01-01
PACA	93298	2	2017-01-01
PACA	93454	2	2017-01-01
PACA	93463	2	2017-01-01
PACA	619194	2	2017-01-01
PACA	717747	2	2017-01-01
PACA	93844	2	2017-01-01
PACA	93898	2	2017-01-01
PACA	93929	2	2017-01-01
PACA	888128	2	2017-01-01
PACA	94014	2	2017-01-01
PACA	94270	2	2017-01-01
PACA	94398	2	2017-01-01
PACA	94402	2	2017-01-01
PACA	94449	2	2017-01-01
PACA	94464	2	2017-01-01
PACA	94599	2	2017-01-01
PACA	94743	2	2017-01-01
PACA	94830	2	2017-01-01
PACA	95055	2	2017-01-01
PACA	95141	2	2017-01-01
PACA	95285	2	2017-01-01
PACA	95601	2	2017-01-01
PACA	95697	2	2017-01-01
PACA	95745	2	2017-01-01
PACA	95758	2	2017-01-01
PACA	95864	2	2017-01-01
PACA	95889	2	2017-01-01
PACA	95916	2	2017-01-01
PACA	96032	2	2017-01-01
PACA	134087	2	2017-01-01
PACA	134101	2	2017-01-01
PACA	718346	2	2017-01-01
PACA	612465	2	2017-01-01
PACA	96476	2	2017-01-01
PACA	96580	2	2017-01-01
PACA	96585	2	2017-01-01
PACA	96628	2	2017-01-01
PACA	96667	2	2017-01-01
PACA	96887	2	2017-01-01
PACA	96893	2	2017-01-01
PACA	97145	2	2017-01-01
PACA	97148	2	2017-01-01
PACA	97472	2	2017-01-01
PACA	134355	2	2017-01-01
PACA	97492	2	2017-01-01
PACA	134372	2	2017-01-01
PACA	97541	2	2017-01-01
PACA	619438	2	2017-01-01
PACA	97556	2	2017-01-01
PACA	97564	2	2017-01-01
PACA	97601	2	2017-01-01
PACA	97604	2	2017-01-01
PACA	97607	2	2017-01-01
PACA	97615	2	2017-01-01
PACA	97616	2	2017-01-01
PACA	97676	2	2017-01-01
PACA	97687	2	2017-01-01
PACA	134477	2	2017-01-01
PACA	98404	2	2017-01-01
PACA	98527	2	2017-01-01
PACA	98640	2	2017-01-01
PACA	98967	2	2017-01-01
PACA	98979	2	2017-01-01
PACA	98988	2	2017-01-01
PACA	99021	2	2017-01-01
PACA	99053	2	2017-01-01
PACA	99077	2	2017-01-01
PACA	159678	2	2017-01-01
PACA	134785	2	2017-01-01
PACA	717206	2	2017-01-01
PACA	99260	2	2017-01-01
PACA	99326	2	2017-01-01
PACA	99399	2	2017-01-01
PACA	99470	2	2017-01-01
PACA	99521	2	2017-01-01
PACA	99530	2	2017-01-01
PACA	99554	2	2017-01-01
PACA	99580	2	2017-01-01
PACA	99857	2	2017-01-01
PACA	135020	2	2017-01-01
PACA	99899	2	2017-01-01
PACA	99922	2	2017-01-01
PACA	99936	2	2017-01-01
PACA	100076	2	2017-01-01
PACA	100187	2	2017-01-01
PACA	100201	2	2017-01-01
PACA	100269	2	2017-01-01
PACA	100288	2	2017-01-01
PACA	100304	2	2017-01-01
PACA	100356	2	2017-01-01
PACA	100427	2	2017-01-01
PACA	100519	2	2017-01-01
PACA	100614	2	2017-01-01
PACA	100710	2	2017-01-01
PACA	100824	2	2017-01-01
PACA	135158	2	2017-01-01
PACA	100827	2	2017-01-01
PACA	100851	2	2017-01-01
PACA	100942	2	2017-01-01
PACA	100946	2	2017-01-01
PACA	100992	2	2017-01-01
PACA	135254	2	2017-01-01
PACA	101080	2	2017-01-01
PACA	101126	2	2017-01-01
PACA	101155	2	2017-01-01
PACA	101295	2	2017-01-01
PACA	101315	2	2017-01-01
PACA	102870	2	2017-01-01
PACA	102876	2	2017-01-01
PACA	102901	2	2017-01-01
PACA	102959	2	2017-01-01
PACA	102968	2	2017-01-01
PACA	103005	2	2017-01-01
PACA	103009	2	2017-01-01
PACA	103056	2	2017-01-01
PACA	103120	2	2017-01-01
PACA	103142	2	2017-01-01
PACA	103207	2	2017-01-01
PACA	103219	2	2017-01-01
PACA	103233	2	2017-01-01
PACA	103246	2	2017-01-01
PACA	103315	2	2017-01-01
PACA	103330	2	2017-01-01
PACA	103433	2	2017-01-01
PACA	103469	2	2017-01-01
PACA	103562	2	2017-01-01
PACA	103598	2	2017-01-01
PACA	717275	2	2017-01-01
PACA	717276	2	2017-01-01
PACA	103840	2	2017-01-01
PACA	136879	2	2017-01-01
PACA	103898	2	2017-01-01
PACA	610644	2	2017-01-01
PACA	103995	2	2017-01-01
PACA	104148	2	2017-01-01
PACA	104192	2	2017-01-01
PACA	104235	2	2017-01-01
PACA	104302	2	2017-01-01
PACA	104337	2	2017-01-01
PACA	104341	2	2017-01-01
PACA	104349	2	2017-01-01
PACA	136984	2	2017-01-01
PACA	104430	2	2017-01-01
PACA	104500	2	2017-01-01
PACA	104501	2	2017-01-01
PACA	104502	2	2017-01-01
PACA	717782	2	2017-01-01
PACA	104558	2	2017-01-01
PACA	104613	2	2017-01-01
PACA	104766	2	2017-01-01
PACA	104845	2	2017-01-01
PACA	105159	2	2017-01-01
PACA	105178	2	2017-01-01
PACA	105239	2	2017-01-01
PACA	105400	2	2017-01-01
PACA	105427	2	2017-01-01
PACA	105441	2	2017-01-01
PACA	892235	2	2017-01-01
