territory_code	cd_nom	revised_conservation_priority	revision_date
AURA	80955	1	2019-01-01
AURA	140804	2	2019-01-01
AURA	106446	2	2019-01-01
AURA	100278	2	2019-01-01
AURA	106258	2	2019-01-01
AURA	619231	2	2019-01-01
AURA	97567	2	2019-01-01
AURA	81347	2	2019-01-01
AURA	127950	1	2019-01-01
AURA	82619	2	2019-01-01
AURA	81316	2	2019-01-01
AURA	121205	2	2019-01-01
AURA	131929	2	2019-01-01
AURA	129898	2	2019-01-01
AURA	93829	2	2019-01-01
AURA	88420	2	2019-01-01
AURA	101777	2	2019-01-01
AURA	120962	2	2019-01-01
AURA	88576	2	2019-01-01
AURA	121552	2	2019-01-01
AURA	127945	1	2019-01-01
AURA	718375	2	2019-01-01
AURA	100288	1	2019-01-01
AURA	92807	2	2019-01-01
AURA	121329	2	2019-01-01
AURA	127458	2	2019-01-01
AURA	127469	2	2019-01-01
AURA	115574	2	2019-01-01
AURA	86394	1	2019-01-01
AURA	95368	2	2019-01-01
AURA	95847	2	2019-01-01
AURA	114579	2	2019-01-01
AURA	100702	2	2019-01-01
AURA	117732	2	2019-01-01
AURA	83756	1	2019-01-01
AURA	136883	2	2019-01-01
AURA	138817	2	2019-01-01
AURA	90080	2	2019-01-01
AURA	88360	2	2019-01-01
AURA	115563	2	2019-01-01
AURA	114554	2	2019-01-01
AURA	145654	2	2019-01-01
AURA	91346	2	2019-01-01
AURA	160269	2	2019-01-01
AURA	79914	2	2019-01-01
AURA	79868	2	2019-01-01
AURA	87417	2	2019-01-01
AURA	108484	1	2019-01-01
AURA	85897	2	2019-01-01
AURA	133172	2	2019-01-01
AURA	117681	2	2019-01-01
AURA	127943	1	2019-01-01
AURA	81142	2	2019-01-01
AURA	105204	1	2019-01-01
AURA	130729	2	2019-01-01
AURA	92254	2	2019-01-01
AURA	130728	2	2019-01-01
AURA	137017	2	2019-01-01
AURA	131826	2	2019-01-01
AURA	111474	2	2019-01-01
AURA	137834	1	2019-01-01
AURA	81620	2	2019-01-01
AURA	95398	2	2019-01-01
AURA	129643	2	2019-01-01
AURA	810955	2	2019-01-01
AURA	521628	2	2019-01-01
AURA	610647	2	2019-01-01
AURA	109095	1	2019-01-01
AURA	92651	2	2019-01-01
AURA	103843	2	2019-01-01
AURA	138241	2	2019-01-01
AURA	159499	2	2019-01-01
AURA	94114	2	2019-01-01
AURA	123560	2	2019-01-01
AURA	92054	2	2019-01-01
AURA	120951	2	2019-01-01
AURA	96664	2	2019-01-01
AURA	103995	2	2019-01-01
AURA	139818	2	2019-01-01
AURA	159574	2	2019-01-01
AURA	127928	1	2019-01-01
AURA	105641	2	2019-01-01
AURA	717746	2	2019-01-01
AURA	88662	2	2019-01-01
AURA	106353	2	2019-01-01
AURA	112592	2	2019-01-01
AURA	138235	2	2019-01-01
AURA	88400	2	2019-01-01
AURA	82478	2	2019-01-01
AURA	521629	2	2019-01-01
AURA	134101	1	2019-01-01
AURA	99988	2	2019-01-01
AURA	86199	2	2019-01-01
AURA	123669	2	2019-01-01
AURA	114519	2	2019-01-01
AURA	718271	2	2019-01-01
AURA	115458	2	2019-01-01
AURA	84328	2	2019-01-01
AURA	107013	2	2019-01-01
AURA	124534	2	2019-01-01
AURA	154761	2	2019-01-01
AURA	110108	2	2019-01-01
AURA	117139	2	2019-01-01
AURA	124775	2	2019-01-01
AURA	88693	2	2019-01-01
AURA	95860	2	2019-01-01
AURA	99763	1	2019-01-01
AURA	88669	2	2019-01-01
AURA	88472	2	2019-01-01
AURA	103020	1	2019-01-01
AURA	99741	2	2019-01-01
AURA	96851	2	2019-01-01
AURA	610911	2	2019-01-01
AURA	128084	2	2019-01-01
AURA	100273	1	2019-01-01
AURA	526279	1	2019-01-01
AURA	611038	2	2019-01-01
AURA	138547	2	2019-01-01
AURA	719047	2	2019-01-01
AURA	91199	2	2019-01-01
AURA	90116	2	2019-01-01
AURA	93122	2	2019-01-01
AURA	121096	2	2019-01-01
AURA	90046	2	2019-01-01
AURA	97133	2	2019-01-01
AURA	128311	2	2019-01-01
AURA	133766	2	2019-01-01
AURA	101262	2	2019-01-01
AURA	132569	2	2019-01-01
AURA	111976	2	2019-01-01
AURA	127501	2	2019-01-01
AURA	117820	1	2019-01-01
AURA	107086	2	2019-01-01
AURA	83638	2	2019-01-01
AURA	139765	2	2019-01-01
AURA	610593	2	2019-01-01
AURA	115903	2	2019-01-01
AURA	718376	2	2019-01-01
AURA	127918	1	2019-01-01
AURA	96742	2	2019-01-01
AURA	81355	1	2019-01-01
AURA	129646	2	2019-01-01
AURA	131373	2	2019-01-01
AURA	95589	2	2019-01-01
AURA	123899	2	2019-01-01
AURA	127222	2	2019-01-01
AURA	811241	2	2019-01-01
AURA	125519	2	2019-01-01
AURA	87620	2	2019-01-01
AURA	130128	1	2019-01-01
AURA	127191	2	2019-01-01
AURA	610645	2	2019-01-01
AURA	111452	2	2019-01-01
AURA	88426	1	2019-01-01
AURA	111972	2	2019-01-01
AURA	109057	2	2019-01-01
AURA	82286	2	2019-01-01
AURA	84839	2	2019-01-01
AURA	81035	2	2019-01-01
AURA	119968	2	2019-01-01
AURA	88509	2	2019-01-01
AURA	128391	2	2019-01-01
AURA	121554	2	2019-01-01
AURA	88344	2	2019-01-01
AURA	99193	1	2019-01-01
AURA	117521	1	2019-01-01
AURA	610789	2	2019-01-01
AURA	89149	2	2019-01-01
AURA	111233	2	2019-01-01
AURA	121174	2	2019-01-01
AURA	121124	2	2019-01-01
AURA	128470	2	2019-01-01
AURA	82509	2	2019-01-01
AURA	82282	2	2019-01-01
AURA	103501	1	2019-01-01
AURA	121024	2	2019-01-01
AURA	788870	1	2019-01-01
AURA	132840	2	2019-01-01
AURA	84859	2	2019-01-01
AURA	126806	2	2019-01-01
01	81098	3	2019-01-01
01	81142	3	2019-01-01
01	81166	3	2019-01-01
01	81190	3	2019-01-01
01	81260	3	2019-01-01
01	81316	2	2019-01-01
01	81347	3	2019-01-01
