territory_code	cd_nom	revised_conservation_priority	revision_date
AURA	117139	2	2019-01-01
AURA	139765	2	2019-01-01
AURA	139818	2	2019-01-01
AURA	117521	1	2019-01-01
AURA	117681	2	2019-01-01
AURA	117732	2	2019-01-01
AURA	117820	1	2019-01-01
AURA	119968	2	2019-01-01
AURA	119970	2	2019-01-01
AURA	120056	2	2019-01-01
AURA	120819	2	2019-01-01
AURA	120951	2	2019-01-01
AURA	120962	2	2019-01-01
AURA	121024	2	2019-01-01
AURA	121096	2	2019-01-01
AURA	121124	2	2019-01-01
AURA	121174	2	2019-01-01
AURA	121174	2	2019-01-01
AURA	121205	2	2019-01-01
AURA	121329	2	2019-01-01
AURA	121552	2	2019-01-01
AURA	121554	2	2019-01-01
AURA	140804	2	2019-01-01
AURA	122305	2	2019-01-01
AURA	141033	2	2019-01-01
AURA	123082	2	2019-01-01
AURA	123560	2	2019-01-01
AURA	123669	2	2019-01-01
AURA	123899	2	2019-01-01
AURA	124534	2	2019-01-01
AURA	124775	2	2019-01-01
AURA	125173	2	2019-01-01
AURA	125519	2	2019-01-01
AURA	126806	2	2019-01-01
AURA	127191	2	2019-01-01
AURA	127222	2	2019-01-01
AURA	127458	2	2019-01-01
AURA	127469	2	2019-01-01
AURA	160269	2	2019-01-01
AURA	127501	2	2019-01-01
AURA	127546	2	2019-01-01
AURA	127918	1	2019-01-01
AURA	127921	1	2019-01-01
AURA	127928	1	2019-01-01
AURA	127943	1	2019-01-01
AURA	127945	1	2019-01-01
AURA	127950	1	2019-01-01
AURA	128084	2	2019-01-01
AURA	128311	2	2019-01-01
AURA	128391	2	2019-01-01
AURA	128470	2	2019-01-01
AURA	129137	2	2019-01-01
AURA	129643	2	2019-01-01
AURA	129646	2	2019-01-01
AURA	129898	2	2019-01-01
AURA	130128	1	2019-01-01
