id_reglementation	territory_code	cd_nom	revised_conservation_priority	revision_date
HIE_AURA_26	26	84904	3	2019-01-01
HIE_AURA_26	26	86394	2	2019-01-01
HIE_AURA_26	26	87053	3	2019-01-01
HIE_AURA_26	26	87102	2	2019-01-01
HIE_AURA_26	26	87106	2	2019-01-01
HIE_AURA_26	26	87136	2	2019-01-01
HIE_AURA_26	26	87275	3	2019-01-01
HIE_AURA_26	26	88344	3	2019-01-01
HIE_AURA_26	26	88391	3	2019-01-01
HIE_AURA_26	26	88465	3	2019-01-01
HIE_AURA_26	26	88576	2	2019-01-01
HIE_AURA_26	26	88893	3	2019-01-01
HIE_AURA_26	26	89531	3	2019-01-01
HIE_AURA_26	26	133046	3	2019-01-01
HIE_AURA_26	26	90180	3	2019-01-01
HIE_AURA_26	26	90222	2	2019-01-01
HIE_AURA_26	26	92254	2	2019-01-01
HIE_AURA_26	26	92566	3	2019-01-01
HIE_AURA_26	26	92615	2	2019-01-01
HIE_AURA_26	26	92651	2	2019-01-01
HIE_AURA_26	26	717152	3	2019-01-01
HIE_AURA_26	26	93140	2	2019-01-01
HIE_AURA_26	26	93307	3	2019-01-01
HIE_AURA_26	26	717746	3	2019-01-01
HIE_AURA_26	26	93829	3	2019-01-01
HIE_AURA_26	26	94068	3	2019-01-01
HIE_AURA_26	26	94079	3	2019-01-01
HIE_AURA_26	26	810955	1	2019-01-01
HIE_AURA_26	26	94114	3	2019-01-01
HIE_AURA_26	26	94578	3	2019-01-01
HIE_AURA_26	26	94599	2	2019-01-01
HIE_AURA_26	26	133860	3	2019-01-01
HIE_AURA_26	26	94830	2	2019-01-01
HIE_AURA_26	26	94833	3	2019-01-01
HIE_AURA_26	26	94923	3	2019-01-01
HIE_AURA_26	26	95741	3	2019-01-01
HIE_AURA_26	26	96134	3	2019-01-01
HIE_AURA_26	26	521629	3	2019-01-01
HIE_AURA_26	26	96443	3	2019-01-01
HIE_AURA_26	26	612465	2	2019-01-01
HIE_AURA_26	26	96469	3	2019-01-01
HIE_AURA_26	26	97222	3	2019-01-01
HIE_AURA_26	26	97601	2	2019-01-01
HIE_AURA_26	26	99165	3	2019-01-01
HIE_AURA_26	26	99193	3	2019-01-01
HIE_AURA_26	26	99741	3	2019-01-01
HIE_AURA_26	26	100273	3	2019-01-01
HIE_AURA_26	26	100576	3	2019-01-01
HIE_AURA_26	26	100710	2	2019-01-01
HIE_AURA_26	26	101295	2	2019-01-01
HIE_AURA_26	26	101315	2	2019-01-01
HIE_AURA_26	26	96130	3	2019-01-01
HIE_AURA_26	26	717776	1	2019-01-01
HIE_AURA_26	26	102930	3	2019-01-01
HIE_AURA_26	26	102990	3	2019-01-01
HIE_AURA_26	26	103120	2	2019-01-01
HIE_AURA_26	26	103142	2	2019-01-01
HIE_AURA_26	26	136789	3	2019-01-01
HIE_AURA_26	26	103433	2	2019-01-01
HIE_AURA_26	26	103598	2	2019-01-01
HIE_AURA_26	26	104148	2	2019-01-01
HIE_AURA_26	26	104329	3	2019-01-01
HIE_AURA_26	26	105204	3	2019-01-01
HIE_AURA_26	26	105239	2	2019-01-01
HIE_AURA_26	26	811241	3	2019-01-01
HIE_AURA_26	26	137171	3	2019-01-01
HIE_AURA_26	26	105687	2	2019-01-01
HIE_AURA_26	26	106280	3	2019-01-01
HIE_AURA_26	26	106419	3	2019-01-01
HIE_AURA_26	26	106446	2	2019-01-01
HIE_AURA_26	26	107106	3	2019-01-01
HIE_AURA_26	26	109057	2	2019-01-01
HIE_AURA_26	26	109252	2	2019-01-01
HIE_AURA_26	26	159499	3	2019-01-01
HIE_AURA_26	26	138067	3	2019-01-01
HIE_AURA_26	26	109769	2	2019-01-01
HIE_AURA_26	26	138126	3	2019-01-01
HIE_AURA_26	26	109869	2	2019-01-01
HIE_AURA_26	26	110068	1	2019-01-01
HIE_AURA_26	26	110108	3	2019-01-01
HIE_AURA_26	26	110110	3	2019-01-01
HIE_AURA_26	26	138235	1	2019-01-01
HIE_AURA_26	26	138244	3	2019-01-01
HIE_AURA_26	26	138282	3	2019-01-01
HIE_AURA_26	26	110385	3	2019-01-01
HIE_AURA_26	26	110445	3	2019-01-01
HIE_AURA_26	26	110473	2	2019-01-01
HIE_AURA_26	26	111464	3	2019-01-01
HIE_AURA_26	26	111560	2	2019-01-01
HIE_AURA_26	26	111972	2	2019-01-01
HIE_AURA_26	26	138535	3	2019-01-01
HIE_AURA_26	26	138547	3	2019-01-01
HIE_AURA_26	26	112293	3	2019-01-01
HIE_AURA_26	26	112590	2	2019-01-01
HIE_AURA_26	26	113090	3	2019-01-01
HIE_AURA_26	26	113547	3	2019-01-01
HIE_AURA_26	26	138815	3	2019-01-01
HIE_AURA_26	26	138865	3	2019-01-01
HIE_AURA_26	26	114209	2	2019-01-01
HIE_AURA_26	26	114226	3	2019-01-01
HIE_AURA_26	26	114554	2	2019-01-01
HIE_AURA_26	26	114660	2	2019-01-01
HIE_AURA_26	26	116870	2	2019-01-01
HIE_AURA_26	26	150460	3	2019-01-01
HIE_AURA_26	26	117712	3	2019-01-01
HIE_AURA_26	26	117820	3	2019-01-01
HIE_AURA_26	26	140615	3	2019-01-01
HIE_AURA_26	26	121329	3	2019-01-01
HIE_AURA_26	26	121556	2	2019-01-01
HIE_AURA_26	26	140804	3	2019-01-01
HIE_AURA_26	26	141033	3	2019-01-01
HIE_AURA_26	26	123293	3	2019-01-01
HIE_AURA_26	26	123560	3	2019-01-01
HIE_AURA_26	26	123597	2	2019-01-01
HIE_AURA_26	26	124534	2	2019-01-01
HIE_AURA_26	26	124699	3	2019-01-01
HIE_AURA_26	26	717572	3	2019-01-01
HIE_AURA_26	26	126213	3	2019-01-01
